2023-01-22 22:16:24 [http-nio-8080-exec-2] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:16:25 [http-nio-8080-exec-3] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:16:40 [http-nio-8080-exec-4] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:16:57 [http-nio-8080-exec-5] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:17:01 [http-nio-8080-exec-6] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:17:30 [http-nio-8080-exec-7] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:17:31 [http-nio-8080-exec-8] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:17:37 [http-nio-8080-exec-9] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:17:45 [http-nio-8080-exec-10] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:17:45 [http-nio-8080-exec-1] INFO  : [SongsController] -> GET, getSongById, songId:88
2023-01-22 22:17:45 [http-nio-8080-exec-2] INFO  : [SongsController] -> GET, getSongById, songId:91
2023-01-22 22:17:45 [http-nio-8080-exec-3] INFO  : [SongsController] -> GET, getSongById, songId:95
2023-01-22 22:17:48 [http-nio-8080-exec-4] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:17:48 [http-nio-8080-exec-5] INFO  : [SongsController] -> GET, getSongById, songId:88
2023-01-22 22:17:48 [http-nio-8080-exec-6] INFO  : [SongsController] -> GET, getSongById, songId:91
